INSTANCE_ID,IMAGE_ID,INSTANCE_TYPE,INSTANCE_LUNCH_TIME,AVAILABILITY_ZONE
"('i-002fe2a55697c4bf3', 'ami-0c41e629d976d4f95', 't2.medium', datetime.datetime(2024, 2, 18, 20, 9, 57, tzinfo=tzutc()), 'us-east-1a')"
"('i-0228bb3ceee0be118', 'ami-0c0b74d29acd0cd97', 't2.micro', datetime.datetime(2024, 1, 19, 3, 2, 35, tzinfo=tzutc()), 'us-east-1a')"
"('i-0fea65bb6b8549703', 'ami-07a5496cce9a01c1e', 't3.micro', datetime.datetime(2024, 2, 3, 3, 44, 18, tzinfo=tzutc()), 'us-east-1a')"
"('i-061460d00343f0b13', 'ami-07a5496cce9a01c1e', 't3.micro', datetime.datetime(2024, 2, 3, 3, 44, 18, tzinfo=tzutc()), 'us-east-1a')"
"('i-0b0533a1fe7117d2f', 'ami-0fea31578248bcd6c', 't4g.micro', datetime.datetime(2024, 2, 3, 3, 44, 18, tzinfo=tzutc()), 'us-east-1a')"
"('i-0f0ed10507202e163', 'ami-0a060a7d1fdbf5bb9', 't2.medium', datetime.datetime(2024, 3, 19, 3, 10, tzinfo=tzutc()), 'us-east-1a')"
"('i-06cf902f74a721e0f', 'ami-0488080797b623755', 't2.medium', datetime.datetime(2024, 3, 3, 22, 27, 23, tzinfo=tzutc()), 'us-east-1b')"
"('i-040c26c909cce8ffb', 'ami-0488080797b623755', 't2.medium', datetime.datetime(2024, 3, 3, 22, 27, 23, tzinfo=tzutc()), 'us-east-1b')"
"('i-016333837334e841e', 'ami-046eeba8a7f7bbefd', 't2.medium', datetime.datetime(2024, 1, 26, 20, 2, 11, tzinfo=tzutc()), 'us-east-1a')"
"('i-06e86d5dec119ac13', 'ami-0488080797b623755', 't2.micro', datetime.datetime(2024, 2, 5, 22, 4, 50, tzinfo=tzutc()), 'us-east-1a')"
"('i-0386537a0dabd73e9', 'ami-01eccbf80522b562b', 't2.micro', datetime.datetime(2024, 3, 19, 4, 46, 25, tzinfo=tzutc()), 'us-east-1a')"
"('i-03502ba9302280c14', 'ami-01eccbf80522b562b', 't2.micro', datetime.datetime(2024, 3, 19, 4, 46, 25, tzinfo=tzutc()), 'us-east-1a')"
"('i-0aa045e3f1ad8d56f', 'ami-01eccbf80522b562b', 't2.micro', datetime.datetime(2024, 3, 19, 4, 46, 25, tzinfo=tzutc()), 'us-east-1a')"
